Stock P/E,ROE,Debt to Equity,Market Cap,Current Price,Volatility,Return 3M,Dividend Yield,EVEBITDA,Symbol,Industry,ROCE,Cluster,Label,Good_Pick
84.2,11.9,0.11,112252.0,789.0,0.349657292713509,4.3,0.22,52.1,INDHOTEL,Consumer Services,15.2,0,Neutral,
20.7,25.3,0.88,186160.0,132.0,0.3169665374624093,8.07,9.1,9.55,IOC,Oil Gas & Consumable Fuels,20.5,3,Defensive Long,True
21.8,9.98,11.9,67263.0,34.9,0.4650411123213799,-23.2,0.0,20.0,IOB,Financial Services,5.41,1,Short,True
47.4,40.4,0.01,58456.0,731.0,0.3020757954624807,-2.16,0.96,32.5,IRCTC,Consumer Services,53.8,0,Neutral,
24.8,13.7,7.81,162193.0,124.0,0.4370525801548769,-3.37,1.29,21.2,IRFC,Financial Services,5.73,1,Neutral,
27.0,17.3,5.85,41445.0,154.0,0.5185651709777849,-22.8,0.0,16.2,IREDA,Financial Services,9.3,5,Short,True
16.3,21.8,0.01,24466.0,175.0,0.407828739197555,-14.0,2.57,9.22,IGL,Oil Gas & Consumable Fuels,28.8,5,Neutral,
10.1,24.2,0.75,100696.0,374.0,0.3687607220486302,16.6,0.0,5.88,INDUSTOWER,Telecommunication,22.1,0,Neutral,
7.43,15.2,7.02,53716.0,690.0,0.430578236475243,-26.8,2.39,13.3,INDUSINDBK,Financial Services,7.93,2,Short,True
73.9,-0.69,1.39,19764.0,152.0,0.5764235603593466,1.7,0.0,42.5,INOXWIND,Capital Goods,3.17,5,Neutral,
63.3,10.5,0.02,9173.0,661.0,0.4548733239674025,-26.3,0.53,30.2,INTELLECT,Information Technology,16.1,2,Short,True
33.2,32.5,0.01,14577.0,337.0,0.6495615904309887,-38.5,0.72,23.7,IGIL,Services,43.1,2,Short,True
139.0,5.56,1.56,14619.0,618.0,0.4991298584137696,-11.9,0.12,40.1,JBMA,Automobile and Auto Components,9.17,2,Short,True
17.2,18.1,0.74,7784.0,284.0,0.3539599599613978,-19.8,1.58,8.92,JKTYRE,Automobile and Auto Components,19.5,5,Short,True
21.1,7.74,0.02,9111.0,95.3,0.485898769469935,-15.6,2.1,18.6,JMFINANCIL,Financial Services,10.2,5,Short,True
78.6,6.53,0.22,86331.0,494.0,0.4591101231617005,-4.6,0.4,49.5,JSWENERGY,Power,7.82,5,Neutral,
151.0,8.9,0.68,62181.0,296.0,0.4121833759138119,2.9,0.19,73.6,JSWINFRA,Services,9.5,5,Neutral,
45.8,11.7,0.87,242161.0,990.0,0.268161742996385,12.0,0.74,15.6,JSWSTEEL,Metals & Mining,14.2,0,Neutral,
6.43,11.7,0.33,9944.0,14.5,0.4605973642843229,-8.05,0.0,4.6,JPPOWER,Power,13.8,5,Neutral,
4.7,15.9,10.4,10038.0,91.2,0.4018058102404432,3.04,2.36,16.0,J&KBANK,Financial Services,5.89,1,Neutral,
8.19,17.7,0.36,15802.0,247.0,0.4814853888485145,2.79,0.81,5.4,JINDALSAW,Capital Goods,21.8,5,Neutral,
19.9,19.9,0.31,44652.0,542.0,0.385140918453948,-10.6,0.55,11.4,JSL,Metals & Mining,22.6,0,Neutral,
17.1,12.2,0.18,82183.0,806.0,0.3099388355446488,-8.1,0.25,9.36,JINDALSTEL,Metals & Mining,14.6,0,Neutral,
276.0,1.58,0.0,146138.0,230.0,0.3342913469239797,-13.6,0.0,226.0,JIOFIN,Financial Services,2.16,4,Short,True
231.0,11.6,1.22,45219.0,685.0,0.3302623118745155,-3.01,0.18,41.0,JUBLFOOD,Consumer Services,12.1,0,Neutral,
49.4,7.57,0.36,10103.0,634.0,0.4872443969214871,-9.19,0.79,22.0,JUBLINGREA,Chemicals,10.5,2,Neutral,
297.0,1.35,0.15,14629.0,918.0,0.4497650599448747,-0.66,0.54,99.6,JUBLPHARMA,Healthcare,2.63,4,Neutral,
41.4,27.4,0.16,15745.0,371.0,0.599091291749398,-12.2,0.27,26.8,JWL,Capital Goods,31.7,5,Short,True
17.6,3.63,0.02,7105.0,836.0,0.4923527105152749,-7.09,0.0,13.5,JUSTDIAL,Consumer Services,4.81,2,Neutral,
36.2,35.3,0.05,13469.0,367.0,0.375972301790437,-4.99,0.95,24.4,JYOTHYLAB,Fast Moving Consumer Goods,44.0,0,Neutral,
48.6,16.3,0.03,33322.0,975.0,0.3719093519835444,3.44,0.51,34.5,KPRMILL,Textiles,18.8,0,Neutral,
7.44,16.5,0.0,6401.0,228.0,0.4720588476686804,-27.8,0.11,4.83,KNRCON,Construction,24.0,5,Neutral,
36.0,15.4,0.03,12761.0,801.0,0.2949253849710725,-21.5,1.5,20.5,KAJARIACER,Consumer Durables,20.1,2,Short,True
26.5,10.1,0.69,15306.0,896.0,0.4074829295153167,-23.5,0.89,12.0,KPIL,Construction,14.6,2,Short,True
83.0,14.1,0.45,52681.0,511.0,0.4897669482521792,-10.9,0.23,40.6,KALYANKJIL,Consumer Durables,16.3,5,Short,True
30.8,13.0,0.03,20177.0,250.0,0.2599576627719295,1.64,1.0,18.2,KANSAINER,Consumer Durables,17.0,0,Neutral,
8.95,17.2,8.92,16864.0,210.0,0.345275364485109,0.43,1.15,14.9,KARURVYSYA,Financial Services,6.89,1,Neutral,
68.6,3.65,0.77,17571.0,660.0,0.4768524508533887,-29.7,0.61,19.8,KEC,Construction,12.6,2,Short,True
54.2,24.4,0.04,17179.0,998.0,0.5776855595616506,-20.5,0.58,35.3,KFINTECH,Financial Services,30.0,2,Short,True
24.6,14.2,0.06,10542.0,726.0,0.4274970228589252,-18.9,0.83,15.3,KIRLOSENG,Capital Goods,18.3,2,Short,True
95.8,13.4,0.24,24679.0,617.0,0.2815238777963939,-0.18,0.0,58.4,KIMS,Healthcare,16.9,0,Neutral,
15.3,10.3,3.54,38785.0,155.0,0.3375155503050952,18.8,1.61,12.7,LTF,Financial Services,8.2,1,Neutral,
5.98,16.3,7.69,30784.0,560.0,0.3610134040147152,4.88,1.61,11.1,LICHSGFIN,Financial Services,8.79,1,Neutral,
57.5,9.78,0.07,12305.0,354.0,0.4520885879282724,-8.21,0.56,37.0,LTFOODS,Fast Moving Consumer Goods,13.6,5,Neutral,
69.8,10.8,0.02,7844.0,380.0,0.3466477777057447,-13.3,0.0,46.6,LATENTVIEW,Information Technology,14.7,0,Short,True
131.0,5.43,0.55,32671.0,606.0,0.3700286813343165,8.37,0.13,40.1,LAURUSLABS,Healthcare,7.5,0,Neutral,
111.0,8.75,0.38,11072.0,140.0,0.3774589834346641,2.28,0.0,57.4,LEMONTREE,Consumer Services,11.4,5,Neutral,
11.4,63.6,0.0,487689.0,771.0,0.3283913312137444,-4.69,1.3,9.46,LICI,Financial Services,73.0,3,Neutral,
70.7,2.57,0.0,7554.0,50.4,0.5236884612341633,-24.7,0.0,45.4,MMTC,Services,2.46,5,Short,True
11.5,18.9,0.0,8896.0,664.0,0.3930172783582892,5.89,1.51,7.93,MAHSEAMLES,Capital Goods,23.8,0,Defensive Long,True
13.5,9.96,5.65,32508.0,263.0,0.3114877343005684,-0.04,2.39,11.9,M&MFIN,Financial Services,8.67,1,Neutral,
10.7,17.2,2.45,19124.0,226.0,0.4296590953109397,31.8,1.57,8.85,MANAPPURAM,Financial Services,13.0,0,Neutral,
27.6,32.0,1.1,22926.0,131.0,0.4562353569053717,-2.47,2.29,9.92,MRPL,Oil Gas & Consumable Fuels,25.8,5,Defensive Long,False
63.6,29.3,0.05,91974.0,710.0,0.2701406647826046,6.22,1.34,48.4,MARICO,Fast Moving Consumer Goods,37.0,0,Defensive Long,True
50.6,12.2,0.29,11822.0,494.0,0.4158923017594779,-2.72,0.28,23.8,MINDACORP,Automobile and Auto Components,14.5,0,Neutral,
37.0,42.4,0.17,23396.0,52.9,0.2481065845917605,-4.13,1.51,22.9,MSUMI,Automobile and Auto Components,48.0,0,Neutral,
19.0,28.8,1.23,36330.0,606.0,0.5589575758404484,-26.6,0.82,10.8,MOTILALOFS,Financial Services,21.4,2,Short,True
7.84,25.4,0.03,13890.0,776.0,0.401461283794432,-36.0,1.23,5.43,NATCOPHARM,Healthcare,29.1,2,Neutral,
47.5,23.0,0.0,24057.0,89.1,0.5138375294630181,12.9,0.59,31.8,NBCC,Construction,30.7,5,Neutral,
17.2,10.2,0.25,13183.0,210.0,0.4698095739546044,-11.8,1.05,7.39,NCC,Construction,20.6,5,Neutral,
29.2,10.8,0.79,84579.0,84.2,0.3605071642411324,16.0,2.26,17.8,NHPC,Power,8.09,0,Defensive Long,True
22.5,7.59,0.45,31822.0,229.0,0.4838519485770072,2.01,1.31,9.77,NLCINDIA,Power,10.4,5,Neutral,
8.28,24.5,0.15,55309.0,62.9,0.3966934977979242,4.85,3.84,4.58,NMDC,Metals & Mining,31.5,5,Defensive Long,True
218.0,6.64,1.32,80716.0,95.8,0.4682579728045631,-12.9,0.0,48.5,NTPCGREEN,Power,9.69,5,Short,True
18.6,12.6,1.18,349177.0,360.0,0.3193500293204431,20.8,2.15,10.4,NTPC,Power,10.8,3,Defensive Long,True
6.67,12.6,0.01,26304.0,143.0,0.470164355244646,-25.2,5.59,3.65,NATIONALUM,Metals & Mining,17.0,5,Neutral,
35.6,5.94,0.0,14088.0,485.0,0.5279801012510436,15.3,0.41,26.0,NAVA,Power,8.0,5,Neutral,
43.7,22.7,0.03,12821.0,905.0,0.5750955296327714,-42.7,0.44,31.8,NEWGEN,Information Technology,26.6,2,Short,True
27.3,29.0,0.0,34978.0,551.0,0.4403609832534789,-13.3,2.99,20.7,NAM-INDIA,Financial Services,36.0,2,Short,True
165.0,5.69,0.12,13487.0,73.8,0.5489686043337754,-1.89,0.0,122.0,NIVABUPA,Financial Services,4.85,5,Neutral,
7.43,14.3,0.11,289812.0,230.0,0.3661238789380134,-9.92,5.32,3.71,ONGC,Oil Gas & Consumable Fuels,18.5,3,Neutral,
8.91,19.2,0.25,58379.0,359.0,0.4642429637928745,-20.7,2.93,5.82,OIL,Oil Gas & Consumable Fuels,20.2,5,Neutral,
31.6,17.5,0.73,15650.0,415.0,0.4779201156780762,17.8,1.33,16.8,PCBL,Chemicals,17.2,5,Defensive Long,True
301.0,12.0,0.09,25982.0,918.0,0.627562379820662,11.0,0.02,172.0,PGEL,Consumer Durables,15.4,4,Neutral,
13.9,11.8,3.68,25457.0,979.0,0.4098265200011391,21.0,0.0,11.4,PNBHOUSING,Financial Services,9.27,0,Neutral,
6.76,19.5,0.08,6675.0,260.0,0.4911283786956387,-7.42,0.23,4.35,PNCINFRA,Construction,25.1,5,Neutral,
11.9,22.2,0.15,42735.0,285.0,0.3379683075188777,-9.53,3.51,6.05,PETRONET,Oil Gas & Consumable Fuels,26.4,0,Neutral,
64.0,3.5,0.35,21821.0,968.0,0.4015089708676909,2.09,1.03,15.1,PEL,Financial Services,5.29,0,Neutral,
42.4,6.48,0.21,29144.0,220.0,0.4873019171061611,-5.51,0.05,24.7,PPLPHARMA,Healthcare,8.25,5,Neutral,
167.0,15.6,2.28,28499.0,366.0,0.4083404845483392,21.2,0.55,29.8,POONAWALLA,Financial Services,11.1,0,Neutral,
8.07,19.5,4.97,132252.0,401.0,0.4903654637479773,2.94,3.43,11.1,PFC,Financial Services,9.77,1,Neutral,
18.7,18.2,1.34,282831.0,304.0,0.2998896806589542,5.74,3.7,10.0,POWERGRID,Power,12.8,3,Defensive Long,True
35.6,23.3,0.03,9211.0,501.0,0.4444898513202921,-27.9,1.2,23.4,PRAJIND,Capital Goods,29.7,2,Short,True
